what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1259573912332
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1259573912333
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1259573912334
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1259573912334
started,bundle,org.eclipse.wst.web,1.1.205.v200811132030,org.eclipse.wst.web,1259573912335
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1259573912335
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1259573913934
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1259573913960
closed,view,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.internal.introview,1259573913978
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1259573918947
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1259573918956
started,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20080422,org.eclipse.jdt.launching.macosx,1259573918994
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259573929058
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1259574147080
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574148086
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1259574148090
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574154898
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574160272
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574166432
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574172028
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574173280
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574177791
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574179375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259574182542
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1259574189625
