what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.ui,1259583479440
started,bundle,org.eclipse.jst.jsp.core,1.2.120.v200810301812,org.eclipse.jst.jsp.core,1259583479511
started,bundle,org.eclipse.wst.wsdl.validation,1.1.302.v200807240215,org.eclipse.wst.wsdl.validation,1259583479747
started,bundle,org.eclipse.wst.xsd.core,1.1.302.v200810020300,org.eclipse.wst.xsd.core,1259583479780
started,bundle,org.eclipse.wst.xsl.core,0.5.0.v200808080616,org.eclipse.wst.xsl.core,1259583479804
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1259583481528
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259583481710
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583490083
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583494103
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583498636
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583510222
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583518203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583524393
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1259583526152
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259583526945
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1259583527034
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583537484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583541227
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583541681
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583545472
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259583551245
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1259584195210
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259584195312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259584201228
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1259587719472
