Player1,Player2,Round,FSP1,FSW1,SSP1,SSW1,ACE1,DBF1,WNR1,UFE1,BPC1,BPW1,NPA1,NPW1,TPW1,ST11,ST21,ST31,ST41,ST51,FSP2,FSW2,SSP2,SSW2,ACE2,DBF2,WNR2,UFE2,BPC2,BPW2,NPA2,NPW2,TPW2,ST12,ST22,ST32,ST42,ST52,Gender,Result
Kevin Anderson,Jiri Vesely,15,63,76,37,28,21,50,21,9,45,14,,,154,2,6,6,6,6,57,69,43,43,16,10,16,10,2,6,,,154,6,7,4,4,4,Male,1
Lukas Lacko,Novak Djokovic,1,61,35,39,18,5,1,17,29,1,3,8,11,70,3,6,1,NA,NA,68,45,32,17,10,0,40,30,4,8,8,9,101,6,7,6,NA,NA,Male,0
Leonardo Mayer,Albert Montanes,1,61,31,39,13,13,1,13,1,7,14,,,80,6,6,6,NA,NA,60,23,40,9,1,4,1,4,0,0,,,42,1,3,1,NA,NA,Male,1
Marcos Baghdatis,Denis Istomin,1,52,53,48,20,8,4,37,50,1,9,16,23,106,4,5,4,NA,NA,77,57,23,15,9,1,41,41,4,13,12,16,126,6,7,6,NA,NA,Male,0
Dmitry Tursunov,Michael Russell,1,53,39,47,24,8,6,8,6,6,9,,,104,6,6,6,NA,NA,50,24,50,19,1,8,1,8,1,7,,,79,2,2,3,NA,NA,Male,1
Juan Monaco,Ernests Gulbis,1,76,63,24,12,0,4,16,35,3,12,9,13,128,6,4,6,2,NA,53,59,47,32,17,11,59,79,3,5,16,28,127,1,6,7,6,NA,Male,0
Santiago Giraldo,Sam Querrey,1,65,51,35,22,9,3,35,41,2,7,6,12,108,3,2,6,6,NA,63,60,37,22,24,4,47,45,4,7,14,17,122,6,6,3,7,NA,Male,0
Dudi Sela,Jarkko Nieminen,1,68,73,32,24,5,3,41,50,9,17,14,30,173,6,6,7,3,3,60,66,40,34,2,6,57,72,10,17,25,36,173,3,7,6,6,6,Male,0
Fabio Fognini,Alex Bogomolov Jr.,1,47,18,53,15,3,4,21,31,6,20,6,9,78,6,6,NA,NA,NA,54,26,46,13,0,11,11,46,2,6,8,12,61,3,2,NA,NA,NA,Male,1
David Guez,Richard Gasquet,1,64,26,36,12,3,,20,39,3,7,5,14,67,5,4,1,NA,NA,67,42,33,14,12,,32,20,7,10,8,11,94,7,6,6,NA,NA,Male,0
Nikolay Davydenko,Lukasz Kubot,1,77,76,23,11,6,4,6,4,7,24,,,162,3,6,3,6,6,60,68,40,25,8,12,8,12,6,14,,,141,6,3,6,3,4,Male,1
Pablo Carreno Busta,Julien Benneteau,1,53,46,47,35,7,7,47,58,4,5,19,33,126,3,6,6,1,2,66,62,34,24,16,4,49,46,7,19,30,43,152,6,3,4,6,6,Male,0
Tommy Robredo,Lukas Rosol,1,57,62,43,43,13,0,50,38,6,18,15,19,177,6,6,3,7,8,51,72,49,41,11,12,82,96,3,7,28,44,152,1,7,6,6,6,Male,1
Samuel Groth,Vasek Pospisil,1,65,40,35,17,16,4,35,25,0,2,20,43,74,4,3,4,NA,NA,67,45,33,13,6,4,31,17,4,10,6,10,94,6,6,6,NA,NA,Male,0
Nicolas Mahut,Matthew Ebden,1,64,63,36,23,7,4,49,57,6,15,24,46,137,3,5,6,6,3,67,58,33,23,7,7,45,55,6,12,28,37,131,6,7,4,0,6,Male,0
Alejandro Falla,Mikhail Kukushkin,1,60,50,40,23,4,2,4,2,10,28,,,151,6,6,6,6,NA,55,55,45,23,2,3,2,3,4,14,,,128,7,2,2,3,NA,Male,1
Stanislas Wawrinka,Andrey Golubev,1,63,20,37,6,4,1,23,11,4,9,13,14,54,6,4,NA,NA,NA,64,18,36,10,0,0,8,15,1,2,6,12,37,4,1,NA,NA,NA,Male,1
Alejandro Gonzalez,David Ferrer,1,68,34,32,7,2,4,22,41,5,7,11,21,75,3,4,4,NA,NA,53,28,47,21,2,6,33,30,8,12,18,22,96,6,6,6,NA,NA,Male,0
Steve Johnson,Adrian Mannarino,1,53,50,47,28,21,12,21,12,4,6,,,129,6,3,0,7,4,58,52,42,37,3,3,3,3,7,11,,,142,3,6,6,5,6,Male,0
Ricardas Berankis,Alexandr Dolgopolov,1,50,39,50,26,10,3,28,38,1,3,17,31,91,5,5,2,NA,NA,58,42,42,23,7,4,37,31,5,16,12,12,114,7,7,6,NA,NA,Male,0
Jeremy Chardy,Jesse Huta Galung,1,66,46,34,16,9,2,31,27,4,9,12,13,94,6,6,6,NA,NA,57,41,43,13,9,7,30,33,0,5,14,17,80,2,4,4,NA,NA,Male,1
Jordan Thompson,Jerzy Janowicz,1,60,58,40,21,13,8,40,36,3,10,18,28,140,6,6,4,2,1,64,74,36,27,18,11,62,64,5,9,31,46,153,1,4,6,6,6,Male,0
Albert Ramos,Pablo Andujar,1,61,32,39,10,2,3,2,3,3,7,,,77,4,2,4,NA,NA,73,40,27,15,2,1,2,1,7,12,,,97,6,6,6,NA,NA,Male,0
Florian Mayer,Denis Kudla,1,58,36,42,22,6,1,25,23,5,11,11,14,101,6,6,6,NA,NA,59,35,41,18,1,2,31,45,1,3,12,20,78,4,2,4,NA,NA,Male,1
Mikhail Youzhny,Jan-Lennard Struff,1,69,39,31,17,5,2,11,30,7,9,5,8,95,6,6,6,NA,NA,49,24,51,12,2,8,20,61,2,5,15,22,66,1,4,2,NA,NA,Male,1
Guillermo Garcia-Lopez,Tommy Haas,1,58,27,42,11,7,3,19,9,4,4,3,5,65,7,5,NA,NA,NA,52,22,48,11,4,7,18,35,1,2,10,10,55,5,2,NA,NA,NA,Male,1
Carlos Berlocq,Edouard Roger-Vasselin,1,57,49,43,32,9,4,9,4,4,13,,,150,4,6,7,2,NA,65,67,35,32,6,6,6,6,7,16,,,163,6,7,6,6,NA,Male,0
Dominic Thiem,Joao Sousa,1,55,60,45,31,20,3,20,3,5,12,,,148,5,6,6,7,NA,65,57,35,30,8,0,8,0,3,8,,,133,7,4,3,6,NA,Male,1
Kevin Anderson,Jiri Vesely,1,63,76,37,28,21,9,21,9,3,14,,,154,2,6,6,6,6,57,69,43,43,16,10,16,10,2,6,,,154,6,7,4,4,4,Male,1
Ivo Karlovic,Ivan Dodig,1,66,55,34,18,25,1,48,27,1,3,24,50,93,6,3,6,NA,NA,83,68,17,12,8,2,41,7,2,3,24,35,108,7,6,7,NA,NA,Male,0
Jan Hajek,Damir Dzumhur,1,73,31,27,6,2,6,2,6,1,2,,,55,4,2,1,NA,NA,53,31,47,19,4,3,4,3,7,12,,,95,6,6,6,NA,NA,Male,0
Di Wu,Kenny De Schepper,1,60,46,40,29,3,5,33,36,2,13,23,35,125,5,5,6,NA,NA,62,63,38,20,19,13,58,66,4,11,29,44,134,7,7,7,NA,NA,Male,0
Tomas Berdych,Aleksandr Nedovyesov,1,66,39,34,19,9,0,35,17,4,14,13,23,97,6,6,6,NA,NA,61,37,39,17,8,2,22,37,0,2,11,16,67,3,4,3,NA,NA,Male,1
James Duckworth,Roger Federer,1,52,36,48,19,13,3,34,38,0,1,19,34,74,4,4,2,NA,NA,58,40,42,19,11,5,30,17,4,17,18,22,96,6,6,6,NA,NA,Male,0
Radek Stepanek,Blaz Kavcic,1,51,37,49,29,5,11,51,54,4,11,22,32,104,7,6,1,0,NA,63,43,37,22,10,6,41,27,6,14,6,15,121,6,4,6,2,NA,Male,0
Teymuraz Gabashvili,Sergiy Stakhovsky,1,58,49,42,24,5,4,5,4,9,17,,,133,6,6,6,6,NA,55,50,45,21,14,8,14,8,3,6,,,112,7,4,2,0,NA,Male,1
Fernando Verdasco,Ze Zhang,1,61,59,39,24,20,6,44,40,5,14,7,11,125,5,6,6,6,NA,58,44,42,25,7,6,20,48,1,5,10,17,101,7,3,2,3,NA,Male,1
Daniel Brands,Gilles Simon,1,63,109,37,36,41,4,111,81,2,25,29,44,231,7,4,6,3,1,56,114,44,57,32,18,75,53,4,10,37,55,230,6,6,3,6,1,Male,0
Marin Cilic,Marcel Granollers,1,58,57,42,30,22,4,63,53,5,8,21,31,145,4,4,6,6,6,61,64,39,27,13,4,41,34,2,3,20,29,124,6,6,3,3,2,Male,1
Thomaz Bellucci,Julian Reister,1,53,39,47,24,8,6,33,37,4,7,18,22,98,4,6,7,NA,NA,60,41,40,16,4,9,21,36,4,8,8,19,93,6,3,6,NA,NA,Male,1
